Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,12,79254,0.089,0.1175,0.137,0.1191,7053.606,9312.345,10857.798,9439.1514
BTC-15MAY26-74000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,74000,C,2026-05-15,12,79254,0.0545,0.071,0.075,0.0727,4319.343,5627.034,5944.05,5761.7658
BTC-15MAY26-75000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,75000,C,2026-05-15,12,79254,0.0535,0.0605,0.0645,0.0622,4240.089,4794.867,5111.883,4929.5988
BTC-15MAY26-76000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,12,79254,0.0455,0.051,0.0535,0.0523,3606.057,4041.9539999999997,4240.089,4144.9842
BTC-15MAY26-77000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,12,79254,0.037,0.042,0.0445,0.0432,2932.3979999999997,3328.668,3526.803,3423.7728
BTC-15MAY26-78000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,78000,C,2026-05-15,12,79254,0.034,0.034,0.036,0.035,2694.636,2694.636,2853.144,2773.8900000000003
BTC-15MAY26-79000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,79000,C,2026-05-15,12,79254,0.0265,0.0275,0.0285,0.0278,2100.2309999999998,2179.485,2258.739,2203.2612
BTC-22MAY26-77000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,77000,C,2026-05-22,19,79254,0.0444,0.049,0.0515,0.0501,3518.8776000000003,3883.4460000000004,4081.5809999999997,3970.6254
BTC-22MAY26-78000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,78000,C,2026-05-22,19,79254,0.037,0.0415,0.043,0.0423,2932.3979999999997,3289.041,3407.9219999999996,3352.4442
BTC-22MAY26-79000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,79000,C,2026-05-22,19,79254,0.0345,0.0345,0.036,0.0352,2734.2630000000004,2734.2630000000004,2853.144,2789.7408
BTC-25DEC26-30000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,30000,C,2026-12-25,236,79254,0.627,0.631,0.634,0.6327,49692.258,50009.274,50247.036,50144.005800000006
BTC-25DEC26-35000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,35000,C,2026-12-25,236,79254,0.507,0.5715,0.5745,0.5731,40181.778,45293.661,45531.423,45420.4674
BTC-25DEC26-40000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,40000,C,2026-12-25,236,79254,0.451,0.513,0.516,0.5147,35743.554000000004,40657.302,40895.064,40792.033800000005
BTC-25DEC26-45000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,45000,C,2026-12-25,236,79254,0.437,0.4555,0.4585,0.4569,34633.998,36100.197,36337.959,36211.1526
BTC-25DEC26-50000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,50000,C,2026-12-25,236,79254,0.3825,0.3995,0.403,0.4013,30314.655,31661.973,31939.362,31804.6302
BTC-25DEC26-54000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,54000,C,2026-12-25,236,79254,0.2972,0.3565,0.3605,0.3584,23554.288800000002,28254.051,28571.067,28404.6336
BTC-25DEC26-55000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,55000,C,2026-12-25,236,79254,0.342,0.346,0.35,0.348,27104.868000000002,27421.884,27738.899999999998,27580.392
BTC-25DEC26-56000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,56000,C,2026-12-25,236,79254,0.278,0.336,0.34,0.3377,22032.612,26629.344,26946.36,26764.0758
