Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-1MAY26-83000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,83000,C,2026-05-01,8,78268,0.0036,0.0041,0.0043,0.0042,281.7648,320.89880000000005,336.5524,328.7256
BTC-1MAY26-86000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,86000,C,2026-05-01,8,78268,0.0017,0.0011,0.0014,0.0013,133.0556,86.0948,109.5752,101.74839999999999
BTC-24APR26-98000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,98000,C,2026-04-24,1,78268,0.0005,,0.0001,,39.134,,7.8268,
BTC-24APR26-120000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,120000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-25APR26-80500-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,80500,C,2026-04-25,2,78268,0.0012,0.0014,0.0017,0.0016,93.9216,109.5752,133.0556,125.2288
BTC-25DEC26-86000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,86000,C,2026-12-25,246,78268,0.1045,0.1115,0.1135,0.1125,8179.005999999999,8726.882,8883.418,8805.15
BTC-25DEC26-90000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,90000,C,2026-12-25,246,78268,0.1,0.0935,0.096,0.0947,7826.8,7318.058,7513.728,7411.979600000001
BTC-25DEC26-94000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,94000,C,2026-12-25,246,78268,0.0785,0.0785,0.0805,0.0796,6144.0380000000005,6144.0380000000005,6300.5740000000005,6230.1328
BTC-25DEC26-96000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,96000,C,2026-12-25,246,78268,0.069,0.072,0.074,0.0729,5400.492,5635.295999999999,5791.831999999999,5705.7372000000005
BTC-25DEC26-98000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,98000,C,2026-12-25,246,78268,0.0655,0.066,0.0675,0.0668,5126.554,5165.688,5283.09,5228.3024
BTC-25DEC26-100000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,100000,C,2026-12-25,246,78268,0.0605,0.06,0.062,0.061,4735.214,4696.08,4852.616,4774.348
BTC-25DEC26-105000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,105000,C,2026-12-25,246,78268,0.0485,0.048,0.0495,0.0488,3795.998,3756.864,3874.266,3819.4784000000004
BTC-25DEC26-110000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,110000,C,2026-12-25,246,78268,0.0425,0.0385,0.04,0.0392,3326.3900000000003,3013.3179999999998,3130.7200000000003,3068.1056
BTC-25DEC26-120000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,120000,C,2026-12-25,246,78268,0.025,0.025,0.026,0.0253,1956.7,1956.7,2034.9679999999998,1980.1804
BTC-25DEC26-140000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,140000,C,2026-12-25,246,78268,0.012,0.0105,0.012,0.0112,939.216,821.8140000000001,939.216,876.6016
BTC-25DEC26-180000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,180000,C,2026-12-25,246,78268,0.003,0.003,0.0038,0.0033,234.804,234.804,297.4184,258.2844
BTC-25DEC26-220000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,220000,C,2026-12-25,246,78268,0.0013,0.0013,0.0017,0.0015,101.74839999999999,101.74839999999999,133.0556,117.402
BTC-25DEC26-240000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,240000,C,2026-12-25,246,78268,0.0008,0.0009,0.0012,0.0011,62.6144,70.4412,93.9216,86.0948
BTC-25SEP26-84000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,84000,C,2026-09-25,155,78268,0.0825,0.0825,0.0835,0.0828,6457.110000000001,6457.110000000001,6535.378000000001,6480.5904
BTC-25SEP26-86000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,86000,C,2026-09-25,155,78268,0.0755,0.073,0.074,0.0734,5909.2339999999995,5713.563999999999,5791.831999999999,5744.8712000000005
BTC-25SEP26-88000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,88000,C,2026-09-25,155,78268,0.0665,0.0645,0.066,0.0651,5204.822,5048.286,5165.688,5095.246800000001
BTC-25SEP26-94000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,94000,C,2026-09-25,155,78268,0.0478,0.044,0.045,0.0447,3741.2104000000004,3443.792,3522.06,3498.5795999999996
BTC-25SEP26-95000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,95000,C,2026-09-25,155,78268,0.0415,0.0415,0.0425,0.0419,3248.1220000000003,3248.1220000000003,3326.3900000000003,3279.4292
BTC-25SEP26-96000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,96000,C,2026-09-25,155,78268,0.0415,0.0385,0.04,0.0392,3248.1220000000003,3013.3179999999998,3130.7200000000003,3068.1056
BTC-25SEP26-165000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,165000,C,2026-09-25,155,78268,0.0008,0.0009,0.0012,0.0009,62.6144,70.4412,93.9216,70.4412
BTC-25SEP26-175000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,175000,C,2026-09-25,155,78268,0.0006,0.0006,0.0009,0.0007,46.9608,46.9608,70.4412,54.7876
BTC-25SEP26-200000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,200000,C,2026-09-25,155,78268,0.0003,0.0002,0.0006,0.0003,23.4804,15.6536,46.9608,23.4804
BTC-25SEP26-240000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,240000,C,2026-09-25,155,78268,0.0004,0.0001,0.0003,0.0002,31.3072,7.8268,23.4804,15.6536
BTC-26APR26-79500-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,79500,C,2026-04-26,3,78268,0.0038,0.0045,0.0049,0.0048,297.4184,352.20599999999996,383.5132,375.6864
BTC-26APR26-80000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,80000,C,2026-04-26,3,78268,0.0025,0.003,0.0034,0.0033,195.67000000000002,234.804,266.1112,258.2844
BTC-26APR26-84000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,84000,C,2026-04-26,3,78268,0.0002,0.0002,0.0004,0.0003,15.6536,15.6536,31.3072,23.4804
BTC-26APR26-87000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,87000,C,2026-04-26,3,78268,0.0001,,0.0002,0.0001,7.8268,,15.6536,7.8268
BTC-26JUN26-135000-C,2026-04-23,2026-04-23,BTC-26JUN26-export.csv,BTC,26JUN26,135000,C,2026-06-26,64,78268,0.0003,0.0002,0.0004,0.0003,23.4804,15.6536,31.3072,23.4804
BTC-26JUN26-145000-C,2026-04-23,2026-04-23,BTC-26JUN26-export.csv,BTC,26JUN26,145000,C,2026-06-26,64,78268,0.0002,0.0002,0.0003,0.0002,15.6536,15.6536,23.4804,15.6536
BTC-26JUN26-150000-C,2026-04-23,2026-04-23,BTC-26JUN26-export.csv,BTC,26JUN26,150000,C,2026-06-26,64,78268,0.0002,0.0001,0.0002,0.0002,15.6536,7.8268,15.6536,15.6536
BTC-26JUN26-155000-C,2026-04-23,2026-04-23,BTC-26JUN26-export.csv,BTC,26JUN26,155000,C,2026-06-26,64,78268,0.0002,0.0001,0.0003,0.0001,15.6536,7.8268,23.4804,7.8268
