Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-76000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,22,78268,0.0505,0.0545,0.0585,0.0568,3952.534,4265.606,4578.678,4445.6224
BTC-15MAY26-77000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,22,78268,0.0465,0.048,0.0495,0.0489,3639.462,3756.864,3874.266,3827.3052
BTC-15MAY26-78000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,78000,C,2026-05-15,22,78268,0.041,0.041,0.042,0.0417,3208.9880000000003,3208.9880000000003,3287.2560000000003,3263.7756
BTC-1MAY26-64000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,64000,C,2026-05-01,8,78268,0.173,0.1585,0.2145,0.1838,13540.364,12405.478000000001,16788.486,14385.658399999998
BTC-1MAY26-65000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,65000,C,2026-05-01,8,78268,0.161,0.165,0.179,0.1713,12601.148000000001,12914.220000000001,14009.972,13407.3084
BTC-1MAY26-68000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,68000,C,2026-05-01,8,78268,0.128,0.127,0.142,0.1336,10018.304,9940.036,11114.055999999999,10456.6048
BTC-1MAY26-70000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,70000,C,2026-05-01,8,78268,0.084,0.1025,0.117,0.1088,6574.512000000001,8022.469999999999,9157.356,8515.5584
BTC-1MAY26-71000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,71000,C,2026-05-01,8,78268,0.0685,0.09,0.105,0.0966,5361.358,7044.12,8218.14,7560.688800000001
BTC-1MAY26-72000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,72000,C,2026-05-01,8,78268,0.0805,0.0785,0.092,0.0847,6300.5740000000005,6144.0380000000005,7200.656,6629.299599999999
BTC-1MAY26-73000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,73000,C,2026-05-01,8,78268,0.0695,0.0705,0.0745,0.073,5439.626,5517.893999999999,5830.965999999999,5713.563999999999
BTC-1MAY26-74000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,74000,C,2026-05-01,8,78268,0.062,0.0595,0.0635,0.0618,4852.616,4656.946,4970.018,4836.9624
