Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,16,76226,0.007,0.0075,0.0085,0.008,533.582,571.6949999999999,647.921,609.808
BTC-15MAY26-82000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,16,76226,0.0055,0.0055,0.0065,0.0059,419.243,419.243,495.469,449.7334
BTC-15MAY26-84000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,16,76226,0.003,0.0029,0.0033,0.0031,228.678,221.0554,251.54579999999999,236.3006
BTC-15MAY26-86000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,16,76226,0.0014,0.0015,0.0018,0.0016,106.7164,114.339,137.2068,121.9616
BTC-15MAY26-90000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,16,76226,0.0008,0.0005,0.0006,0.0006,60.9808,38.113,45.7356,45.7356
BTC-1MAY26-79000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,79000,C,2026-05-01,2,76226,0.0006,0.0006,0.0008,0.0007,45.7356,45.7356,60.9808,53.3582
BTC-1MAY26-80000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,80000,C,2026-05-01,2,76226,0.0004,0.0003,0.0004,0.0004,30.4904,22.8678,30.4904,30.4904
BTC-1MAY26-82000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,82000,C,2026-05-01,2,76226,0.0001,,0.0001,0.0001,7.6226,,7.6226,7.6226
BTC-1MAY26-83000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,83000,C,2026-05-01,2,76226,0.0001,,0.0001,,7.6226,,7.6226,
BTC-1MAY26-86000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,86000,C,2026-05-01,2,76226,0.0001,,0.0001,,7.6226,,7.6226,
