Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,18,77335,0.095,0.1,0.106,0.1023,7346.825,7733.5,8197.51,7911.3705
BTC-15MAY26-76000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,18,77335,0.038,0.0425,0.0435,0.043,2938.73,3286.7375,3364.0724999999998,3325.4049999999997
BTC-15MAY26-77000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,18,77335,0.0355,0.035,0.036,0.0356,2745.3925,2706.7250000000004,2784.06,2753.126
BTC-1MAY26-60000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,60000,C,2026-05-01,4,77335,0.21,0.2185,0.2315,0.2242,16240.349999999999,16897.6975,17903.0525,17338.507
BTC-1MAY26-64000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,64000,C,2026-05-01,4,77335,0.166,0.1645,0.181,0.1726,12837.61,12721.6075,13997.635,13348.021
BTC-1MAY26-65000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,65000,C,2026-05-01,4,77335,0.16,0.151,0.168,0.1597,12373.6,11677.585,12992.28,12350.399500000001
BTC-1MAY26-66000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,66000,C,2026-05-01,4,77335,0.1521,0.141,0.167,0.1469,11762.6535,10904.234999999999,12914.945000000002,11360.5115
BTC-1MAY26-68000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,68000,C,2026-05-01,4,77335,0.128,0.1155,0.141,0.1211,9898.880000000001,8932.192500000001,10904.234999999999,9365.2685
BTC-1MAY26-69000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,69000,C,2026-05-01,4,77335,0.113,0.106,0.1105,0.1083,8738.855,8197.51,8545.5175,8375.3805
BTC-1MAY26-70000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,70000,C,2026-05-01,4,77335,0.089,0.0935,0.0975,0.0955,6882.815,7230.8225,7540.1625,7385.4925
BTC-1MAY26-71000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,71000,C,2026-05-01,4,77335,0.0925,0.0805,0.085,0.0829,7153.4875,6225.4675,6573.475,6411.0715
BTC-1MAY26-72000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,72000,C,2026-05-01,4,77335,0.0805,0.0685,0.0725,0.0703,6225.4675,5297.4475,5606.787499999999,5436.6505
BTC-1MAY26-73000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,73000,C,2026-05-01,4,77335,0.0635,0.056,0.06,0.058,4910.7725,4330.76,4640.099999999999,4485.43
BTC-1MAY26-74000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,74000,C,2026-05-01,4,77335,0.05,0.044,0.048,0.0461,3866.75,3402.74,3712.08,3565.1435
BTC-1MAY26-75000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,75000,C,2026-05-01,4,77335,0.0445,0.0335,0.037,0.0352,3441.4075,2590.7225000000003,2861.395,2722.192
BTC-1MAY26-76000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,76000,C,2026-05-01,4,77335,0.0253,0.0245,0.0265,0.0253,1956.5755,1894.7075,2049.3775,1956.5755
BTC-1MAY26-76500-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,76500,C,2026-05-01,4,77335,0.019,0.02,0.0215,0.0209,1469.365,1546.7,1662.7024999999999,1616.3014999999998
BTC-1MAY26-77000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,77000,C,2026-05-01,4,77335,0.014,0.0165,0.0175,0.017,1082.69,1276.0275000000001,1353.3625000000002,1314.6950000000002
