Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-84000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,14,78372,0.0047,0.0046,0.005,0.0048,368.3484,360.5112,391.86,376.18559999999997
BTC-22MAY26-85000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,85000,C,2026-05-22,21,78372,0.007,0.0065,0.0075,0.0071,548.604,509.41799999999995,587.79,556.4412
BTC-25DEC26-85000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,85000,C,2026-12-25,238,78372,0.11,0.111,0.1125,0.1116,8620.92,8699.292,8816.85,8746.315200000001
BTC-25DEC26-90000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,90000,C,2026-12-25,238,78372,0.0875,0.088,0.09,0.0889,6857.549999999999,6896.736,7053.48,6967.2708
BTC-25DEC26-92000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,92000,C,2026-12-25,238,78372,0.071,0.0805,0.0825,0.0812,5564.411999999999,6308.946,6465.6900000000005,6363.8063999999995
BTC-25DEC26-95000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,95000,C,2026-12-25,238,78372,0.0715,0.07,0.072,0.0709,5603.598,5486.040000000001,5642.784,5556.5748
BTC-25DEC26-96000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,96000,C,2026-12-25,238,78372,0.0635,0.067,0.0685,0.0677,4976.622,5250.924,5368.482,5305.7844
BTC-25DEC26-100000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,100000,C,2026-12-25,238,78372,0.0505,0.0555,0.057,0.0563,3957.786,4349.646,4467.204,4412.3436
BTC-25DEC26-104000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,104000,C,2026-12-25,238,78372,0.0415,0.046,0.0475,0.0468,3252.438,3605.112,3722.67,3667.8096
BTC-25DEC26-105000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,105000,C,2026-12-25,238,78372,0.046,0.0435,0.0455,0.0446,3605.112,3409.182,3565.926,3495.3912
BTC-25DEC26-150000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,150000,C,2026-12-25,238,78372,0.006,0.0065,0.0075,0.007,470.232,509.41799999999995,587.79,548.604
BTC-25DEC26-220000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,220000,C,2026-12-25,238,78372,0.0011,0.0011,0.0015,0.0013,86.20920000000001,86.20920000000001,117.558,101.8836
BTC-25DEC26-240000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,240000,C,2026-12-25,238,78372,0.001,0.0008,0.001,0.0009,78.372,62.6976,78.372,70.5348
BTC-25DEC26-250000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,250000,C,2026-12-25,238,78372,0.0008,0.0007,0.001,0.0008,62.6976,54.8604,78.372,62.6976
BTC-25SEP26-85000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,85000,C,2026-09-25,147,78372,0.0625,0.0705,0.072,0.0714,4898.25,5525.226,5642.784,5595.7608
BTC-25SEP26-86000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,86000,C,2026-09-25,147,78372,0.0675,0.0665,0.0675,0.067,5290.110000000001,5211.738,5290.110000000001,5250.924
BTC-25SEP26-95000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,95000,C,2026-09-25,147,78372,0.036,0.036,0.037,0.0363,2821.392,2821.392,2899.7639999999997,2844.9036
BTC-25SEP26-98000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,98000,C,2026-09-25,147,78372,0.026,0.029,0.03,0.0294,2037.6719999999998,2272.788,2351.16,2304.1367999999998
BTC-25SEP26-100000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,100000,C,2026-09-25,147,78372,0.0261,0.025,0.026,0.0256,2045.5092000000002,1959.3000000000002,2037.6719999999998,2006.3232
BTC-25SEP26-135000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,135000,C,2026-09-25,147,78372,0.0024,0.0026,0.0031,0.0028,188.09279999999998,203.7672,242.95319999999998,219.4416
BTC-25SEP26-165000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,165000,C,2026-09-25,147,78372,0.0008,0.0006,0.001,0.0007,62.6976,47.023199999999996,78.372,54.8604
BTC-25SEP26-170000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,170000,C,2026-09-25,147,78372,0.0006,0.0005,0.0009,0.0007,47.023199999999996,39.186,70.5348,54.8604
BTC-25SEP26-180000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,180000,C,2026-09-25,147,78372,0.0004,0.0004,0.0008,0.0005,31.3488,31.3488,62.6976,39.186
BTC-25SEP26-220000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,220000,C,2026-09-25,147,78372,0.0003,0.0001,0.0003,0.0002,23.511599999999998,7.8372,23.511599999999998,15.6744
BTC-26JUN26-85000-C,2026-05-01,2026-05-01,BTC-26JUN26-export.csv,BTC,26JUN26,85000,C,2026-06-26,56,78372,0.027,0.027,0.0275,0.0275,2116.044,2116.044,2155.23,2155.23
BTC-26JUN26-86000-C,2026-05-01,2026-05-01,BTC-26JUN26-export.csv,BTC,26JUN26,86000,C,2026-06-26,56,78372,0.0245,0.0235,0.024,0.024,1920.114,1841.742,1880.928,1880.928
BTC-26JUN26-120000-C,2026-05-01,2026-05-01,BTC-26JUN26-export.csv,BTC,26JUN26,120000,C,2026-06-26,56,78372,0.0004,0.0004,0.0007,0.0005,31.3488,31.3488,54.8604,39.186
BTC-26JUN26-130000-C,2026-05-01,2026-05-01,BTC-26JUN26-export.csv,BTC,26JUN26,130000,C,2026-06-26,56,78372,0.0003,0.0002,0.0003,0.0003,23.511599999999998,15.6744,23.511599999999998,23.511599999999998
