Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-65000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,65000,C,2026-05-15,18,77335,,0.1605,0.1645,0.1625,,12412.2675,12721.6075,12566.9375
BTC-15MAY26-72000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,72000,C,2026-05-15,18,77335,,0.078,0.082,0.0803,,6032.13,6341.47,6210.0005
BTC-15MAY26-73000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,73000,C,2026-05-15,18,77335,,0.068,0.0715,0.07,,5258.780000000001,5529.452499999999,5413.450000000001
BTC-15MAY26-74000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,74000,C,2026-05-15,18,77335,,0.0585,0.0615,0.0602,,4524.0975,4756.1025,4655.567
BTC-15MAY26-75000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,75000,C,2026-05-15,18,77335,,0.05,0.052,0.0512,,3866.75,4021.4199999999996,3959.552
BTC-1MAY26-75500-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,75500,C,2026-05-01,4,77335,,0.0285,0.0315,0.03,,2204.0475,2436.0525000000002,2320.0499999999997
BTC-26MAR27-55000-C,2026-04-27,2026-04-27,BTC-26MAR27-export.csv,BTC,26MAR27,55000,C,2027-03-26,333,77335,,0.354,0.36,0.3571,,27376.59,27840.6,27616.3285
BTC-26MAR27-56000-C,2026-04-27,2026-04-27,BTC-26MAR27-export.csv,BTC,26MAR27,56000,C,2027-03-26,333,77335,,0.344,0.3505,0.3475,,26603.239999999998,27105.9175,26873.9125
BTC-26MAR27-106000-C,2026-04-27,2026-04-27,BTC-26MAR27-export.csv,BTC,26MAR27,106000,C,2027-03-26,333,77335,,0.0665,0.0695,0.0678,,5142.7775,5374.7825,5243.313
BTC-28APR26-69000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,69000,C,2026-04-28,1,77335,,0.0705,0.142,0.108,,5452.117499999999,10981.57,8352.18
BTC-28APR26-70000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,70000,C,2026-04-28,1,77335,,0.0575,0.1295,0.0951,,4446.7625,10014.8825,7354.5585
BTC-28APR26-71000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,71000,C,2026-04-28,1,77335,,0.044,0.117,0.0822,,3402.74,9048.195,6356.937
BTC-28APR26-72000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,72000,C,2026-04-28,1,77335,,0.0305,0.105,0.0692,,2358.7174999999997,8120.174999999999,5351.581999999999
BTC-28APR26-74000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,74000,C,2026-04-28,1,77335,,0.0215,0.0805,0.0434,,1662.7024999999999,6225.4675,3356.339
BTC-28APR26-75000-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,75000,C,2026-04-28,1,77335,,0.0008,0.04,0.0306,,61.868,3093.4,2366.451
BTC-28APR26-75500-C,2026-04-27,2026-04-27,BTC-28APR26-export.csv,BTC,28APR26,75500,C,2026-04-28,1,77335,,0.009,0.0485,0.0242,,696.015,3750.7475,1871.5069999999998
BTC-29APR26-69000-C,2026-04-27,2026-04-27,BTC-29APR26-export.csv,BTC,29APR26,69000,C,2026-04-29,2,77335,,0.102,0.136,0.1079,,7888.169999999999,10517.560000000001,8344.4465
BTC-29APR26-70000-C,2026-04-27,2026-04-27,BTC-29APR26-export.csv,BTC,29APR26,70000,C,2026-04-29,2,77335,,0.0885,0.1235,0.0951,,6844.1475,9550.8725,7354.5585
