Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-76000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,19,78657,0.0505,0.057,0.0585,0.0577,3972.1785000000004,4483.4490000000005,4601.4345,4538.5089
BTC-15MAY26-77000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,19,78657,0.0495,0.0485,0.05,0.0493,3893.5215000000003,3814.8645,3932.8500000000004,3877.7900999999997
BTC-15MAY26-78000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,78000,C,2026-05-15,19,78657,0.0415,0.041,0.042,0.0416,3264.2655,3224.9370000000004,3303.594,3272.1312
BTC-1MAY26-60000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,60000,C,2026-05-01,5,78657,0.21,0.237,0.2425,0.2407,16517.97,18641.709,19074.3225,18932.7399
BTC-1MAY26-64000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,64000,C,2026-05-01,5,78657,0.182,0.189,0.192,0.1902,14315.574,14866.173,15102.144,14960.5614
BTC-1MAY26-65000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,65000,C,2026-05-01,5,78657,0.16,0.1735,0.1795,0.1776,12585.12,13646.9895,14118.931499999999,13969.4832
BTC-1MAY26-66000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,66000,C,2026-05-01,5,78657,0.1521,0.1635,0.167,0.165,11963.729700000002,12860.4195,13135.719000000001,12978.405
BTC-1MAY26-68000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,68000,C,2026-05-01,5,78657,0.128,0.1385,0.142,0.1399,10068.096,10893.9945,11169.294,11004.1143
BTC-1MAY26-69000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,69000,C,2026-05-01,5,78657,0.113,0.126,0.1295,0.1273,8888.241,9910.782,10186.0815,10013.0361
BTC-1MAY26-70000-C,2026-04-26,2026-04-26,BTC-1MAY26-export.csv,BTC,1MAY26,70000,C,2026-05-01,5,78657,0.107,0.113,0.117,0.1148,8416.298999999999,8888.241,9202.869,9029.8236
