Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-22MAY26-86000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,86000,C,2026-05-22,19,79254,0.005,0.0065,0.0075,0.0071,396.27,515.151,594.405,562.7034
BTC-25DEC26-85000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,85000,C,2026-12-25,236,79254,0.1145,0.115,0.1165,0.1153,9074.583,9114.210000000001,9233.091,9137.9862
BTC-25DEC26-92000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,92000,C,2026-12-25,236,79254,0.071,0.0835,0.0855,0.0842,5627.034,6617.709000000001,6776.217000000001,6673.1867999999995
BTC-25DEC26-94000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,94000,C,2026-12-25,236,79254,0.0735,0.076,0.078,0.0768,5825.169,6023.304,6181.812,6086.7072
BTC-25DEC26-96000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,96000,C,2026-12-25,236,79254,0.0635,0.069,0.071,0.07,5032.629,5468.526000000001,5627.034,5547.780000000001
BTC-25DEC26-98000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,98000,C,2026-12-25,236,79254,0.058,0.063,0.065,0.0639,4596.732,4993.002,5151.51,5064.3306
BTC-25DEC26-104000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,104000,C,2026-12-25,236,79254,0.0415,0.0475,0.049,0.0483,3289.041,3764.565,3883.4460000000004,3827.9682000000003
BTC-25DEC26-135000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,135000,C,2026-12-25,236,79254,0.0125,0.012,0.013,0.0125,990.6750000000001,951.048,1030.302,990.6750000000001
BTC-25DEC26-200000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,200000,C,2026-12-25,236,79254,0.002,0.0016,0.002,0.0018,158.508,126.80640000000001,158.508,142.6572
BTC-25DEC26-220000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,220000,C,2026-12-25,236,79254,0.0011,0.0009,0.0017,0.0013,87.1794,71.3286,134.7318,103.0302
BTC-25DEC26-240000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,240000,C,2026-12-25,236,79254,0.001,0.0008,0.001,0.0009,79.254,63.403200000000005,79.254,71.3286
