Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,16,76226,0.089,0.087,0.0905,0.089,6784.114,6631.661999999999,6898.4529999999995,6784.114
BTC-15MAY26-76000-C,2026-04-29,2026-04-29,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,16,76226,0.0305,0.0315,0.0325,0.0318,2324.893,2401.119,2477.3450000000003,2423.9868
BTC-1MAY26-60000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,60000,C,2026-05-01,2,76226,0.21,0.2115,0.214,0.2123,16007.46,16121.798999999999,16312.364,16182.779799999998
BTC-1MAY26-64000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,64000,C,2026-05-01,2,76226,0.175,0.1585,0.1615,0.1598,13339.55,12081.821,12310.499,12180.9148
BTC-1MAY26-65000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,65000,C,2026-05-01,2,76226,0.16,0.1435,0.1485,0.1467,12196.16,10938.430999999999,11319.561,11182.3542
BTC-1MAY26-66000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,66000,C,2026-05-01,2,76226,0.1521,0.1325,0.1345,0.1336,11593.974600000001,10099.945,10252.397,10183.793599999999
BTC-1MAY26-68000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,68000,C,2026-05-01,2,76226,0.102,0.106,0.109,0.1074,7775.052,8079.956,8308.634,8186.6723999999995
BTC-1MAY26-69000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,69000,C,2026-05-01,2,76226,0.113,0.0925,0.096,0.0943,8613.538,7050.905,7317.696,7188.1118
BTC-1MAY26-70000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,70000,C,2026-05-01,2,76226,0.079,0.08,0.0825,0.0812,6021.854,6098.08,6288.645,6189.5512
BTC-1MAY26-71000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,71000,C,2026-05-01,2,76226,0.071,0.067,0.0695,0.0682,5412.045999999999,5107.142000000001,5297.707,5198.6132
BTC-1MAY26-72000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,72000,C,2026-05-01,2,76226,0.0485,0.054,0.0565,0.0552,3696.9610000000002,4116.204,4306.769,4207.6752
BTC-1MAY26-73000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,73000,C,2026-05-01,2,76226,0.036,0.041,0.044,0.0424,2744.136,3125.266,3353.944,3231.9824
BTC-1MAY26-74000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,74000,C,2026-05-01,2,76226,0.0235,0.029,0.0315,0.0301,1791.311,2210.554,2401.119,2294.4026
BTC-1MAY26-75000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,75000,C,2026-05-01,2,76226,0.0165,0.0175,0.0205,0.019,1257.729,1333.9550000000002,1562.633,1448.2939999999999
BTC-1MAY26-75500-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,75500,C,2026-05-01,2,76226,0.015,0.0135,0.015,0.0143,1143.3899999999999,1029.051,1143.3899999999999,1090.0318
BTC-1MAY26-76000-C,2026-04-29,2026-04-29,BTC-1MAY26-export.csv,BTC,1MAY26,76000,C,2026-05-01,2,76226,0.0095,0.0095,0.0105,0.0101,724.1469999999999,724.1469999999999,800.373,769.8826
BTC-25DEC26-30000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,30000,C,2026-12-25,240,76226,0.6185,0.617,0.62,0.6188,47145.781,47031.442,47260.12,47168.6488
BTC-25DEC26-35000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,35000,C,2026-12-25,240,76226,0.507,0.5555,0.559,0.5573,38646.582,42343.543,42610.334,42480.7498
BTC-25DEC26-40000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,40000,C,2026-12-25,240,76226,0.451,0.495,0.4985,0.497,34377.926,37731.87,37998.661,37884.322
BTC-25DEC26-45000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,45000,C,2026-12-25,240,76226,0.437,0.436,0.4395,0.4378,33310.762,33234.536,33501.327,33371.7428
BTC-25DEC26-50000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,50000,C,2026-12-25,240,76226,0.376,0.379,0.3835,0.381,28660.976,28889.654,29232.671000000002,29042.106
BTC-25DEC26-54000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,54000,C,2026-12-25,240,76226,0.2972,0.336,0.34,0.3378,22654.3672,25611.936,25916.84,25749.142799999998
BTC-25DEC26-55000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,55000,C,2026-12-25,240,76226,0.342,0.3255,0.3295,0.3274,26069.292,24811.563000000002,25116.467,24956.3924
BTC-25DEC26-56000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,56000,C,2026-12-25,240,76226,0.278,0.315,0.3195,0.317,21190.828,24011.19,24354.207000000002,24163.642
BTC-25DEC26-58000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,58000,C,2026-12-25,240,76226,0.3145,0.295,0.299,0.2967,23973.077,22486.67,22791.574,22616.254200000003
BTC-25DEC26-60000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,60000,C,2026-12-25,240,76226,0.2705,0.2755,0.2795,0.2773,20619.133,21000.263000000003,21305.167,21137.4698
BTC-25DEC26-62000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,62000,C,2026-12-25,240,76226,0.256,0.257,0.261,0.2587,19513.856,19590.082000000002,19894.986,19719.6662
BTC-25DEC26-64000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,64000,C,2026-12-25,240,76226,0.2425,0.239,0.243,0.2408,18484.805,18218.014,18522.917999999998,18355.2208
BTC-25DEC26-65000-C,2026-04-29,2026-04-29,BTC-25DEC26-export.csv,BTC,25DEC26,65000,C,2026-12-25,240,76226,0.233,0.2305,0.2345,0.2321,17760.658,17570.093,17874.997,17692.0546
