Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-65000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,65000,C,2026-05-15,19,78657,,0.178,0.1815,0.18,,14000.946,14276.245499999999,14158.26
BTC-15MAY26-70000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,19,78657,,0.118,0.1215,0.12,,9281.526,9556.825499999999,9438.84
BTC-15MAY26-72000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,72000,C,2026-05-15,19,78657,,0.096,0.099,0.0975,,7551.072,7787.043000000001,7669.0575
BTC-15MAY26-74000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,74000,C,2026-05-15,19,78657,,0.075,0.0785,0.0765,,5899.275,6174.5745,6017.2605
BTC-15MAY26-75000-C,2026-04-26,2026-04-26,BTC-15MAY26-export.csv,BTC,15MAY26,75000,C,2026-05-15,19,78657,,0.0655,0.0685,0.0668,,5152.0335000000005,5388.0045,5254.2876
BTC-26MAR27-55000-C,2026-04-26,2026-04-26,BTC-26MAR27-export.csv,BTC,26MAR27,55000,C,2027-03-26,334,78657,,0.3655,0.371,0.3682,,28749.1335,29181.747,28961.507400000002
BTC-26MAR27-56000-C,2026-04-26,2026-04-26,BTC-26MAR27-export.csv,BTC,26MAR27,56000,C,2027-03-26,334,78657,,0.356,0.3615,0.3588,,28001.892,28434.5055,28222.1316
BTC-26MAR27-106000-C,2026-04-26,2026-04-26,BTC-26MAR27-export.csv,BTC,26MAR27,106000,C,2027-03-26,334,78657,,0.0725,0.075,0.0735,,5702.6325,5899.275,5781.2895
BTC-27APR26-69000-C,2026-04-26,2026-04-26,BTC-27APR26-export.csv,BTC,27APR26,69000,C,2026-04-27,1,78657,,0.1175,0.136,0.127,,9242.1975,10697.352,9989.439
BTC-27APR26-70000-C,2026-04-26,2026-04-26,BTC-27APR26-export.csv,BTC,27APR26,70000,C,2026-04-27,1,78657,,0.082,0.144,0.1143,,6449.874000000001,11326.607999999998,8990.4951
BTC-27APR26-74000-C,2026-04-26,2026-04-26,BTC-27APR26-export.csv,BTC,27APR26,74000,C,2026-04-27,1,78657,,0.0305,0.0895,0.0637,,2399.0385,7039.8015,5010.450900000001
BTC-27APR26-75000-C,2026-04-26,2026-04-26,BTC-27APR26-export.csv,BTC,27APR26,75000,C,2026-04-27,1,78657,,0.038,0.0855,0.051,,2988.966,6725.173500000001,4011.5069999999996
