Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,12,79254,0.017,0.016,0.017,0.0165,1347.318,1268.064,1347.318,1307.691
BTC-15MAY26-82000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,12,79254,0.012,0.012,0.0125,0.0124,951.048,951.048,990.6750000000001,982.7496
BTC-15MAY26-84000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,12,79254,0.0065,0.006,0.007,0.0066,515.151,475.524,554.778,523.0764
BTC-15MAY26-86000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,12,79254,0.0031,0.0032,0.0035,0.0034,245.6874,253.61280000000002,277.389,269.4636
BTC-15MAY26-90000-C,2026-05-03,2026-05-03,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,12,79254,0.001,0.0009,0.0011,0.001,79.254,71.3286,87.1794,79.254
BTC-22MAY26-81000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,81000,C,2026-05-22,19,79254,0.024,0.023,0.024,0.0235,1902.096,1822.8419999999999,1902.096,1862.469
BTC-22MAY26-82000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,82000,C,2026-05-22,19,79254,0.018,0.0185,0.0195,0.0189,1426.572,1466.1989999999998,1545.453,1497.9006
BTC-22MAY26-84000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,84000,C,2026-05-22,19,79254,0.0115,0.0115,0.012,0.0118,911.4209999999999,911.4209999999999,951.048,935.1972
BTC-22MAY26-85000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,85000,C,2026-05-22,19,79254,0.0085,0.0085,0.0095,0.0092,673.659,673.659,752.913,729.1368
BTC-22MAY26-90000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,90000,C,2026-05-22,19,79254,0.0025,0.0025,0.0028,0.0027,198.135,198.135,221.9112,213.9858
BTC-22MAY26-95000-C,2026-05-03,2026-05-03,BTC-22MAY26-export.csv,BTC,22MAY26,95000,C,2026-05-22,19,79254,0.0008,0.0008,0.0009,0.0008,63.403200000000005,63.403200000000005,71.3286,63.403200000000005
BTC-25DEC26-82000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,82000,C,2026-12-25,236,79254,0.132,0.13,0.132,0.1309,10461.528,10303.02,10461.528,10374.3486
BTC-25DEC26-84000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,84000,C,2026-12-25,236,79254,0.1175,0.119,0.121,0.1203,9312.345,9431.225999999999,9589.734,9534.2562
BTC-25DEC26-86000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,86000,C,2026-12-25,236,79254,0.107,0.109,0.111,0.1102,8480.178,8638.686,8797.194,8733.7908
BTC-25DEC26-88000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,88000,C,2026-12-25,236,79254,0.0975,0.1,0.102,0.1008,7727.265,7925.400000000001,8083.907999999999,7988.8032
BTC-25DEC26-90000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,90000,C,2026-12-25,236,79254,0.09,0.091,0.093,0.0922,7132.86,7212.114,7370.622,7307.218800000001
BTC-25DEC26-95000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,95000,C,2026-12-25,236,79254,0.0725,0.073,0.0745,0.0736,5745.915,5785.5419999999995,5904.423,5833.0944
BTC-25DEC26-100000-C,2026-05-03,2026-05-03,BTC-25DEC26-export.csv,BTC,25DEC26,100000,C,2026-12-25,236,79254,0.055,0.0575,0.059,0.0581,4358.97,4557.1050000000005,4675.986,4604.6574
