Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,22,78268,0.0245,0.024,0.025,0.0245,1917.566,1878.432,1956.7,1917.566
BTC-15MAY26-82000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,22,78268,0.0185,0.0195,0.0205,0.0201,1447.9579999999999,1526.2259999999999,1604.4940000000001,1573.1868
BTC-15MAY26-84000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,22,78268,0.013,0.0125,0.0135,0.0132,1017.4839999999999,978.35,1056.618,1033.1376
BTC-15MAY26-86000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,22,78268,0.009,0.008,0.0085,0.0085,704.4119999999999,626.144,665.278,665.278
BTC-15MAY26-90000-C,2026-04-23,2026-04-23,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,22,78268,0.0034,0.0033,0.0036,0.0034,266.1112,258.2844,281.7648,266.1112
BTC-1MAY26-79000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,79000,C,2026-05-01,8,78268,0.017,0.018,0.0185,0.0183,1330.556,1408.8239999999998,1447.9579999999999,1432.3044
BTC-1MAY26-80000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,80000,C,2026-05-01,8,78268,0.0125,0.0125,0.0135,0.0131,978.35,978.35,1056.618,1025.3108
BTC-1MAY26-81000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,81000,C,2026-05-01,8,78268,0.008,0.0085,0.0095,0.0091,626.144,665.278,743.5459999999999,712.2388000000001
BTC-1MAY26-82000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,82000,C,2026-05-01,8,78268,0.006,0.006,0.0065,0.0062,469.608,469.608,508.74199999999996,485.2616
BTC-1MAY26-84000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,84000,C,2026-05-01,8,78268,0.0029,0.0026,0.0029,0.0028,226.97719999999998,203.49679999999998,226.97719999999998,219.1504
BTC-1MAY26-85000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,85000,C,2026-05-01,8,78268,0.0015,0.0017,0.002,0.0019,117.402,133.0556,156.536,148.7092
BTC-1MAY26-87000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,87000,C,2026-05-01,8,78268,0.0009,0.0008,0.001,0.0009,70.4412,62.6144,78.268,70.4412
BTC-1MAY26-90000-C,2026-04-23,2026-04-23,BTC-1MAY26-export.csv,BTC,1MAY26,90000,C,2026-05-01,8,78268,0.0003,0.0003,0.0005,0.0004,23.4804,23.4804,39.134,31.3072
BTC-24APR26-78500-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,78500,C,2026-04-24,1,78268,0.0033,0.0033,0.0038,0.0036,258.2844,258.2844,297.4184,281.7648
BTC-24APR26-79000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,79000,C,2026-04-24,1,78268,0.0016,0.0014,0.0017,0.0016,125.2288,109.5752,133.0556,125.2288
BTC-24APR26-79500-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,79500,C,2026-04-24,1,78268,0.0008,0.0006,0.0008,0.0007,62.6144,46.9608,62.6144,54.7876
BTC-24APR26-80000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,80000,C,2026-04-24,1,78268,0.0005,0.0004,0.0005,0.0004,39.134,31.3072,39.134,31.3072
BTC-24APR26-81000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,81000,C,2026-04-24,1,78268,0.0003,0.0001,0.0003,0.0002,23.4804,7.8268,23.4804,15.6536
BTC-24APR26-82000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,82000,C,2026-04-24,1,78268,0.0001,,0.0002,,7.8268,,15.6536,
BTC-24APR26-83000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,83000,C,2026-04-24,1,78268,0.0001,,0.0002,,7.8268,,15.6536,
BTC-24APR26-84000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,84000,C,2026-04-24,1,78268,0.0001,,0.0002,,7.8268,,15.6536,
BTC-24APR26-85000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,85000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-86000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,86000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-88000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,88000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-90000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,90000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-92000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,92000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-94000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,94000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-95000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,95000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-96000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,96000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-100000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,100000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-105000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,105000,C,2026-04-24,1,78268,0.0001,,0.0001,,7.8268,,7.8268,
BTC-24APR26-110000-C,2026-04-23,2026-04-23,BTC-24APR26-export.csv,BTC,24APR26,110000,C,2026-04-24,1,78268,0.0005,,0.0001,,39.134,,7.8268,
BTC-25APR26-78500-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,78500,C,2026-04-25,2,78268,0.0085,0.008,0.0085,0.0082,665.278,626.144,665.278,641.7976000000001
BTC-25APR26-79000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,79000,C,2026-04-25,2,78268,0.005,0.005,0.006,0.0056,391.34000000000003,391.34000000000003,469.608,438.3008
BTC-25APR26-79500-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,79500,C,2026-04-25,2,78268,0.0035,0.0034,0.0038,0.0037,273.938,266.1112,297.4184,289.5916
BTC-25APR26-80000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,80000,C,2026-04-25,2,78268,0.0024,0.0021,0.0025,0.0024,187.8432,164.3628,195.67000000000002,187.8432
BTC-25APR26-81000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,81000,C,2026-04-25,2,78268,0.0011,0.0009,0.0012,0.0011,86.0948,70.4412,93.9216,86.0948
BTC-25APR26-82000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,82000,C,2026-04-25,2,78268,0.0006,0.0005,0.0007,0.0006,46.9608,39.134,54.7876,46.9608
BTC-25APR26-83000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,83000,C,2026-04-25,2,78268,0.0002,0.0002,0.0004,0.0003,15.6536,15.6536,31.3072,23.4804
BTC-25APR26-84000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,84000,C,2026-04-25,2,78268,0.0001,0.0001,0.0003,0.0002,7.8268,7.8268,23.4804,15.6536
BTC-25APR26-85000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,85000,C,2026-04-25,2,78268,0.0001,,0.0002,0.0001,7.8268,,15.6536,7.8268
BTC-25APR26-86000-C,2026-04-23,2026-04-23,BTC-25APR26-export.csv,BTC,25APR26,86000,C,2026-04-25,2,78268,0.0001,,0.0002,0.0001,7.8268,,15.6536,7.8268
BTC-25DEC26-82000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,82000,C,2026-12-25,246,78268,0.132,0.1315,0.1335,0.1326,10331.376,10292.242,10448.778,10378.3368
BTC-25DEC26-84000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,84000,C,2026-12-25,246,78268,0.1214,0.121,0.123,0.1222,9501.7352,9470.428,9626.964,9564.3496
BTC-25DEC26-85000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,85000,C,2026-12-25,246,78268,0.117,0.117,0.118,0.1175,9157.356,9157.356,9235.624,9196.49
BTC-25DEC26-88000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,88000,C,2026-12-25,246,78268,0.104,0.102,0.104,0.1031,8139.871999999999,7983.335999999999,8139.871999999999,8069.4308
BTC-25DEC26-92000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,92000,C,2026-12-25,246,78268,0.0895,0.086,0.088,0.0869,7004.986,6731.048,6887.584,6801.4892
BTC-25DEC26-95000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,95000,C,2026-12-25,246,78268,0.0793,0.075,0.077,0.0762,6206.6524,5870.099999999999,6026.6359999999995,5964.0216
BTC-25DEC26-102000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,102000,C,2026-12-25,246,78268,0.059,0.055,0.057,0.0559,4617.812,4304.74,4461.276,4375.1812
BTC-25DEC26-104000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,104000,C,2026-12-25,246,78268,0.055,0.0505,0.052,0.0511,4304.74,3952.534,4069.9359999999997,3999.4948
BTC-25DEC26-115000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,115000,C,2026-12-25,246,78268,0.035,0.0305,0.032,0.0315,2739.38,2387.174,2504.576,2465.442
BTC-25DEC26-125000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,125000,C,2026-12-25,246,78268,0.02,0.0195,0.021,0.0203,1565.3600000000001,1526.2259999999999,1643.6280000000002,1588.8403999999998
BTC-25DEC26-130000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,130000,C,2026-12-25,246,78268,0.0165,0.0155,0.017,0.0163,1291.422,1213.154,1330.556,1275.7684
BTC-25DEC26-135000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,135000,C,2026-12-25,246,78268,0.0135,0.013,0.014,0.0137,1056.618,1017.4839999999999,1095.752,1072.2716
BTC-25DEC26-150000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,150000,C,2026-12-25,246,78268,0.0085,0.0075,0.0085,0.008,665.278,587.01,665.278,626.144
BTC-25DEC26-160000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,160000,C,2026-12-25,246,78268,0.006,0.0055,0.0065,0.006,469.608,430.474,508.74199999999996,469.608
BTC-25DEC26-170000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,170000,C,2026-12-25,246,78268,0.0043,0.0042,0.0048,0.0045,336.5524,328.7256,375.6864,352.20599999999996
BTC-25DEC26-190000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,190000,C,2026-12-25,246,78268,0.0027,0.0023,0.0031,0.0026,211.3236,180.0164,242.6308,203.49679999999998
BTC-25DEC26-200000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,200000,C,2026-12-25,246,78268,0.0022,0.0018,0.0026,0.0021,172.1896,140.8824,203.49679999999998,164.3628
BTC-25DEC26-210000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,210000,C,2026-12-25,246,78268,0.0018,0.0016,0.0021,0.0018,140.8824,125.2288,164.3628,140.8824
BTC-25DEC26-230000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,230000,C,2026-12-25,246,78268,0.0013,0.0011,0.0014,0.0012,101.74839999999999,86.0948,109.5752,93.9216
BTC-25DEC26-250000-C,2026-04-23,2026-04-23,BTC-25DEC26-export.csv,BTC,25DEC26,250000,C,2026-12-25,246,78268,0.0009,0.0008,0.0013,0.001,70.4412,62.6144,101.74839999999999,78.268
BTC-25SEP26-82000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,82000,C,2026-09-25,155,78268,0.0885,0.092,0.0935,0.0928,6926.718,7200.656,7318.058,7263.270399999999
BTC-25SEP26-85000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,85000,C,2026-09-25,155,78268,0.075,0.077,0.079,0.0779,5870.099999999999,6026.6359999999995,6183.1720000000005,6097.0772
BTC-25SEP26-90000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,90000,C,2026-09-25,155,78268,0.053,0.057,0.058,0.0575,4148.204,4461.276,4539.544,4500.41
BTC-25SEP26-92000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,92000,C,2026-09-25,155,78268,0.048,0.05,0.0515,0.0508,3756.864,3913.4,4030.8019999999997,3976.0144
BTC-25SEP26-98000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,98000,C,2026-09-25,155,78268,0.0345,0.034,0.035,0.0344,2700.246,2661.112,2739.38,2692.4192
BTC-25SEP26-100000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,100000,C,2026-09-25,155,78268,0.0305,0.0295,0.0305,0.0303,2387.174,2308.906,2387.174,2371.5204
BTC-25SEP26-105000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,105000,C,2026-09-25,155,78268,0.021,0.021,0.0215,0.0217,1643.6280000000002,1643.6280000000002,1682.762,1698.4156
BTC-25SEP26-110000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,110000,C,2026-09-25,155,78268,0.015,0.015,0.0155,0.0154,1174.02,1174.02,1213.154,1205.3272
BTC-25SEP26-115000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,115000,C,2026-09-25,155,78268,0.0105,0.0105,0.011,0.011,821.8140000000001,821.8140000000001,860.948,860.948
BTC-25SEP26-120000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,120000,C,2026-09-25,155,78268,0.008,0.0075,0.008,0.0079,626.144,587.01,626.144,618.3172000000001
BTC-25SEP26-125000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,125000,C,2026-09-25,155,78268,0.006,0.0055,0.0065,0.006,469.608,430.474,508.74199999999996,469.608
BTC-25SEP26-130000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,130000,C,2026-09-25,155,78268,0.0046,0.0044,0.0048,0.0045,360.0328,344.3792,375.6864,352.20599999999996
BTC-25SEP26-135000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,135000,C,2026-09-25,155,78268,0.0033,0.0034,0.0037,0.0034,258.2844,266.1112,289.5916,266.1112
BTC-25SEP26-140000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,140000,C,2026-09-25,155,78268,0.0026,0.0027,0.003,0.0028,203.49679999999998,211.3236,234.804,219.1504
BTC-25SEP26-145000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,145000,C,2026-09-25,155,78268,0.0021,0.0021,0.0024,0.0022,164.3628,164.3628,187.8432,172.1896
BTC-25SEP26-150000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,150000,C,2026-09-25,155,78268,0.0017,0.0017,0.002,0.0017,133.0556,133.0556,156.536,133.0556
BTC-25SEP26-155000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,155000,C,2026-09-25,155,78268,0.0014,0.0014,0.0016,0.0014,109.5752,109.5752,125.2288,109.5752
BTC-25SEP26-160000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,160000,C,2026-09-25,155,78268,0.0011,0.0011,0.0012,0.0011,86.0948,86.0948,93.9216,86.0948
BTC-25SEP26-170000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,170000,C,2026-09-25,155,78268,0.0008,0.0007,0.0009,0.0008,62.6144,54.7876,70.4412,62.6144
BTC-25SEP26-180000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,180000,C,2026-09-25,155,78268,0.0005,0.0005,0.0008,0.0006,39.134,39.134,62.6144,46.9608
BTC-25SEP26-190000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,190000,C,2026-09-25,155,78268,0.0004,0.0003,0.0007,0.0004,31.3072,23.4804,54.7876,31.3072
BTC-25SEP26-220000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,220000,C,2026-09-25,155,78268,0.0002,0.0001,0.0004,0.0002,15.6536,7.8268,31.3072,15.6536
BTC-25SEP26-260000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,260000,C,2026-09-25,155,78268,0.0001,,0.0002,0.0002,7.8268,,15.6536,15.6536
BTC-25SEP26-280000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,280000,C,2026-09-25,155,78268,0.0001,,0.0002,0.0002,7.8268,,15.6536,15.6536
BTC-25SEP26-300000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,300000,C,2026-09-25,155,78268,0.0001,,0.0002,0.0002,7.8268,,15.6536,15.6536
BTC-25SEP26-320000-C,2026-04-23,2026-04-23,BTC-25SEP26-export.csv,BTC,25SEP26,320000,C,2026-09-25,155,78268,0.0001,,0.0004,0.0002,7.8268,,31.3072,15.6536
BTC-26APR26-78500-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,78500,C,2026-04-26,3,78268,0.01,0.009,0.01,0.0095,782.6800000000001,704.4119999999999,782.6800000000001,743.5459999999999
BTC-26APR26-79000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,79000,C,2026-04-26,3,78268,0.007,0.0065,0.007,0.0068,547.876,508.74199999999996,547.876,532.2224
BTC-26APR26-80500-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,80500,C,2026-04-26,3,78268,0.0026,0.002,0.0024,0.0022,203.49679999999998,156.536,187.8432,172.1896
BTC-26APR26-81000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,81000,C,2026-04-26,3,78268,0.0017,0.0014,0.0017,0.0016,133.0556,109.5752,133.0556,125.2288
BTC-26APR26-82000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,82000,C,2026-04-26,3,78268,0.0008,0.0007,0.001,0.0008,62.6144,54.7876,78.268,62.6144
BTC-26APR26-83000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,83000,C,2026-04-26,3,78268,0.0006,0.0004,0.0006,0.0005,46.9608,31.3072,46.9608,39.134
BTC-26APR26-85000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,85000,C,2026-04-26,3,78268,0.0002,0.0001,0.0003,0.0002,15.6536,7.8268,23.4804,15.6536
BTC-26APR26-86000-C,2026-04-23,2026-04-23,BTC-26APR26-export.csv,BTC,26APR26,86000,C,2026-04-26,3,78268,0.0002,,0.0002,0.0002,15.6536,,15.6536,15.6536
