Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-81000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,81000,C,2026-05-15,18,77335,0.013,0.014,0.0145,0.0143,1005.3549999999999,1082.69,1121.3575,1105.8905
BTC-15MAY26-82000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,82000,C,2026-05-15,18,77335,0.0095,0.0105,0.0115,0.011,734.6825,812.0175,889.3525,850.685
BTC-15MAY26-84000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,84000,C,2026-05-15,18,77335,0.006,0.006,0.0065,0.0064,464.01,464.01,502.67749999999995,494.944
BTC-15MAY26-86000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,86000,C,2026-05-15,18,77335,0.0031,0.0035,0.0038,0.0036,239.7385,270.6725,293.873,278.406
BTC-15MAY26-90000-C,2026-04-27,2026-04-27,BTC-15MAY26-export.csv,BTC,15MAY26,90000,C,2026-05-15,18,77335,0.0012,0.0011,0.0014,0.0013,92.80199999999999,85.0685,108.269,100.5355
BTC-1MAY26-79000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,79000,C,2026-05-01,4,77335,0.005,0.0055,0.0065,0.0061,386.675,425.3425,502.67749999999995,471.74350000000004
BTC-1MAY26-80000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,80000,C,2026-05-01,4,77335,0.0032,0.0032,0.0035,0.0034,247.472,247.472,270.6725,262.93899999999996
BTC-1MAY26-81000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,81000,C,2026-05-01,4,77335,0.0019,0.0017,0.0019,0.0018,146.9365,131.46949999999998,146.9365,139.203
BTC-1MAY26-82000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,82000,C,2026-05-01,4,77335,0.001,0.0009,0.0011,0.001,77.33500000000001,69.6015,85.0685,77.33500000000001
BTC-1MAY26-83000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,83000,C,2026-05-01,4,77335,0.0007,0.0005,0.0007,0.0006,54.1345,38.667500000000004,54.1345,46.400999999999996
BTC-1MAY26-84000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,84000,C,2026-05-01,4,77335,0.0004,0.0003,0.0004,0.0003,30.934,23.200499999999998,30.934,23.200499999999998
BTC-1MAY26-85000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,85000,C,2026-05-01,4,77335,0.0003,0.0002,0.0003,0.0002,23.200499999999998,15.467,23.200499999999998,15.467
BTC-1MAY26-87000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,87000,C,2026-05-01,4,77335,0.0001,,0.0002,0.0001,7.7335,,15.467,7.7335
BTC-1MAY26-90000-C,2026-04-27,2026-04-27,BTC-1MAY26-export.csv,BTC,1MAY26,90000,C,2026-05-01,4,77335,0.0001,,0.0001,,7.7335,,7.7335,
BTC-25DEC26-82000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,82000,C,2026-12-25,242,77335,0.132,0.123,0.125,0.1239,10208.220000000001,9512.205,9666.875,9581.8065
BTC-25DEC26-84000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,84000,C,2026-12-25,242,77335,0.116,0.113,0.114,0.1135,8970.86,8738.855,8816.19,8777.522500000001
BTC-25DEC26-85000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,85000,C,2026-12-25,242,77335,0.1105,0.108,0.11,0.109,8545.5175,8352.18,8506.85,8429.515
BTC-25DEC26-88000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,88000,C,2026-12-25,242,77335,0.0975,0.0945,0.096,0.0951,7540.1625,7308.1575,7424.16,7354.5585
BTC-25DEC26-90000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,90000,C,2026-12-25,242,77335,0.0895,0.0865,0.0885,0.0874,6921.4825,6689.477499999999,6844.1475,6759.079000000001
BTC-25DEC26-95000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,95000,C,2026-12-25,242,77335,0.0705,0.069,0.0705,0.0698,5452.117499999999,5336.115000000001,5452.117499999999,5397.983
BTC-25DEC26-98000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,98000,C,2026-12-25,242,77335,0.061,0.06,0.0615,0.0609,4717.4349999999995,4640.099999999999,4756.1025,4709.7015
BTC-25DEC26-102000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,102000,C,2026-12-25,242,77335,0.053,0.05,0.0515,0.0506,4098.755,3866.75,3982.7524999999996,3913.151
BTC-25DEC26-105000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,105000,C,2026-12-25,242,77335,0.047,0.0435,0.045,0.0441,3634.745,3364.0724999999998,3480.075,3410.4735
BTC-25DEC26-115000-C,2026-04-27,2026-04-27,BTC-25DEC26-export.csv,BTC,25DEC26,115000,C,2026-12-25,242,77335,0.0285,0.0275,0.0285,0.028,2204.0475,2126.7125,2204.0475,2165.38
