Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-1MAY26-79000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,79000,C,2026-05-01,9,78203,0.0245,0.0235,0.0245,0.0241,1915.9735,1837.7705,1915.9735,1884.6923
BTC-1MAY26-80000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,80000,C,2026-05-01,9,78203,0.0185,0.018,0.0185,0.0185,1446.7555,1407.654,1446.7555,1446.7555
BTC-1MAY26-81000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,81000,C,2026-05-01,9,78203,0.0145,0.0135,0.014,0.0138,1133.9435,1055.7404999999999,1094.842,1079.2014
BTC-1MAY26-83000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,83000,C,2026-05-01,9,78203,0.0075,0.007,0.0075,0.0073,586.5224999999999,547.421,586.5224999999999,570.8819
BTC-1MAY26-84000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,84000,C,2026-05-01,9,78203,0.006,0.005,0.0055,0.0052,469.218,391.015,430.1165,406.6556
BTC-1MAY26-87000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,87000,C,2026-05-01,9,78203,0.0017,0.0017,0.0019,0.0018,132.9451,132.9451,148.5857,140.7654
BTC-1MAY26-90000-C,2026-04-22,2026-04-22,BTC-1MAY26-export.csv,BTC,1MAY26,90000,C,2026-05-01,9,78203,0.0007,0.0006,0.0008,0.0007,54.7421,46.9218,62.562400000000004,54.7421
BTC-23APR26-78500-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,78500,C,2026-04-23,1,78203,0.009,0.007,0.008,0.0081,703.827,547.421,625.624,633.4443
BTC-23APR26-79000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,79000,C,2026-04-23,1,78203,0.0043,0.0044,0.0048,0.0047,336.2729,344.0932,375.3744,367.5541
BTC-23APR26-79500-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,79500,C,2026-04-23,1,78203,0.0029,0.0023,0.0027,0.0025,226.78869999999998,179.8669,211.1481,195.5075
BTC-23APR26-80000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,80000,C,2026-04-23,1,78203,0.0016,0.0013,0.0015,0.0014,125.12480000000001,101.6639,117.3045,109.4842
BTC-23APR26-81000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,81000,C,2026-04-23,1,78203,0.0005,0.0004,0.0005,0.0004,39.1015,31.281200000000002,39.1015,31.281200000000002
BTC-23APR26-82000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,82000,C,2026-04-23,1,78203,0.0002,0.0001,0.0003,0.0002,15.640600000000001,7.8203000000000005,23.4609,15.640600000000001
BTC-23APR26-83000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,83000,C,2026-04-23,1,78203,0.0001,,0.0002,0.0001,7.8203000000000005,,15.640600000000001,7.8203000000000005
BTC-23APR26-84000-C,2026-04-22,2026-04-22,BTC-23APR26-export.csv,BTC,23APR26,84000,C,2026-04-23,1,78203,0.0001,,0.0001,,7.8203000000000005,,7.8203000000000005,
