tau,s,h
0.10009359,0.09442792,0.00004204
0.10009359,0.11331350,0.00000000
0.10009359,0.13219909,0.00000000
0.10009359,0.15108466,0.00000000
0.10009359,0.16997025,0.00000000
0.10009359,0.18885584,0.00000000
0.10009359,0.20774141,0.00000000
0.10009359,0.22662700,0.00000000
0.10009359,0.24551258,0.00000000
0.10009359,0.26439818,0.00000000
0.10009359,0.28328375,0.00000000
0.10009359,0.30216933,0.00000000
0.10009359,0.32105493,0.00000000
0.10009359,0.33994050,0.00000000
0.10009359,0.35882608,0.00000000
0.10009359,0.37771168,0.00000000
0.10009359,0.39659725,0.00000000
0.10009359,0.41548283,0.00000000
0.10009359,0.43436843,0.00000000
0.10009359,0.45325400,0.00000000
0.10009359,0.47213958,0.00000000
0.10009359,0.49102515,0.00000000
0.10009359,0.50991073,0.00000000
0.10009359,0.52879636,0.00000000
0.10009359,0.54768193,0.00000000
0.10009359,0.56656750,0.00000000
0.10009359,0.58545308,0.00000000
0.10009359,0.60433865,0.00000000
0.10009359,0.62322423,0.00000000
0.10009359,0.64210986,0.00000000
0.10009359,0.66099543,0.00000000
0.10009359,0.67988101,0.00000000
0.10009359,0.69876658,0.00000000
0.10009359,0.71765215,0.00000000
0.10009359,0.73653773,0.00000000
0.10009359,0.75542336,0.00000000
0.10009359,0.77430893,0.00000000
0.10009359,0.79319451,0.00000000
0.10009359,0.81208008,0.00000000
0.10009359,0.83096565,0.00000000
0.10009359,0.84985123,0.00000000
0.10009359,0.86873686,0.00000000
0.10009359,0.88762243,0.00000000
0.10009359,0.90650801,0.00000000
0.10009359,0.92539358,0.00000000
0.11803489,0.00000000,0.00009669
0.11803489,0.01888558,0.00009314
0.11803489,0.03777117,0.00008871
0.11803489,0.05665675,0.00008303
0.11803489,0.07554233,0.00007540
0.11803489,0.09442792,0.00006402
0.11803489,0.11331350,0.00003979
0.11803489,0.13219909,0.00000000
0.11803489,0.15108466,0.00000000
0.11803489,0.16997025,0.00000000
0.11803489,0.18885584,0.00000000
0.11803489,0.20774141,0.00000000
0.11803489,0.22662700,0.00000000
0.11803489,0.24551258,0.00000000
0.11803489,0.26439818,0.00000000
0.11803489,0.28328375,0.00000000
0.11803489,0.30216933,0.00000000
0.11803489,0.32105493,0.00000000
0.11803489,0.33994050,0.00000000
0.11803489,0.35882608,0.00000000
0.11803489,0.37771168,0.00000000
0.11803489,0.39659725,0.00000000
0.11803489,0.41548283,0.00000000
0.11803489,0.43436843,0.00000000
0.11803489,0.45325400,0.00000000
0.11803489,0.47213958,0.00000000
0.11803489,0.49102515,0.00000000
0.11803489,0.50991073,0.00000000
0.11803489,0.52879636,0.00000000
0.11803489,0.54768193,0.00000000
0.11803489,0.56656750,0.00000000
0.11803489,0.58545308,0.00000000
0.11803489,0.60433865,0.00000000
0.11803489,0.62322423,0.00000000
0.11803489,0.64210986,0.00000000
0.11803489,0.66099543,0.00000000
0.11803489,0.67988101,0.00000000
0.11803489,0.69876658,0.00000000
0.11803489,0.71765215,0.00000000
0.11803489,0.73653773,0.00000000
0.11803489,0.75542336,0.00000000
0.11803489,0.77430893,0.00000000
0.11803489,0.79319451,0.00000000
0.11803489,0.81208008,0.00000000
0.11803489,0.83096565,0.00000000
0.11803489,0.84985123,0.00000000
0.11803489,0.86873686,0.00000000
0.11803489,0.88762243,0.00000000
0.11803489,0.90650801,0.00000000
0.11803489,0.92539358,0.00000000
0.13597620,0.00000000,0.00009946
0.13597620,0.01888558,0.00009653
0.13597620,0.03777117,0.00009294
0.13597620,0.05665675,0.00008846
0.13597620,0.07554233,0.00008271
0.13597620,0.09442792,0.00007494
0.13597620,0.11331350,0.00006327
0.13597620,0.13219909,0.00003720
0.13597620,0.15108466,0.00000000
