Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-04-28,2026-04-28,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,17,76408,0.089,0.0905,0.0935,0.0918,6800.312,6914.924,7144.148,7014.254400000001
BTC-15MAY26-76000-C,2026-04-28,2026-04-28,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,17,76408,0.034,0.0345,0.0355,0.035,2597.8720000000003,2636.076,2712.484,2674.28
BTC-1MAY26-60000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,60000,C,2026-05-01,3,76408,0.21,0.208,0.216,0.2142,16045.68,15892.864,16504.128,16366.5936
BTC-1MAY26-64000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,64000,C,2026-05-01,3,76408,0.166,0.1495,0.174,0.1619,12683.728000000001,11422.996,13294.991999999998,12370.455199999999
BTC-1MAY26-65000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,65000,C,2026-05-01,3,76408,0.16,0.1305,0.1505,0.1489,12225.28,9971.244,11499.404,11377.1512
BTC-1MAY26-66000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,66000,C,2026-05-01,3,76408,0.1521,0.1345,0.137,0.1358,11621.6568,10276.876,10467.896,10376.206400000001
BTC-1MAY26-68000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,68000,C,2026-05-01,3,76408,0.128,0.103,0.128,0.1097,9780.224,7870.023999999999,9780.224,8381.9576
BTC-1MAY26-69000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,69000,C,2026-05-01,3,76408,0.113,0.095,0.099,0.0967,8634.104,7258.76,7564.392000000001,7388.6536
BTC-1MAY26-70000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,70000,C,2026-05-01,3,76408,0.0805,0.0825,0.0855,0.0838,6150.844,6303.66,6532.884000000001,6402.9904
BTC-1MAY26-71000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,71000,C,2026-05-01,3,76408,0.0925,0.0695,0.0725,0.0709,7067.74,5310.356000000001,5539.58,5417.327200000001
BTC-1MAY26-72000-C,2026-04-28,2026-04-28,BTC-1MAY26-export.csv,BTC,1MAY26,72000,C,2026-05-01,3,76408,0.0805,0.057,0.06,0.0583,6150.844,4355.256,4584.48,4454.5864
