Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-70000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,70000,C,2026-05-15,14,78372,0.089,0.0795,0.134,0.1093,6975.107999999999,6230.5740000000005,10501.848,8566.059599999999
BTC-15MAY26-74000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,74000,C,2026-05-15,14,78372,0.0545,0.0295,0.094,0.0643,4271.274,2311.9739999999997,7366.968,5039.3196
BTC-15MAY26-75000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,75000,C,2026-05-15,14,78372,0.0475,0.051,0.057,0.0543,3722.67,3996.9719999999998,4467.204,4255.5996000000005
BTC-15MAY26-76000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,76000,C,2026-05-15,14,78372,0.0455,0.0435,0.047,0.045,3565.926,3409.182,3683.484,3526.74
BTC-15MAY26-77000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,77000,C,2026-05-15,14,78372,0.039,0.0355,0.0375,0.0367,3056.508,2782.2059999999997,2938.95,2876.2524000000003
BTC-15MAY26-78000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,78000,C,2026-05-15,14,78372,0.0315,0.0285,0.0295,0.0292,2468.718,2233.602,2311.9739999999997,2288.4624
BTC-22MAY26-77000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,77000,C,2026-05-22,21,78372,0.0445,0.0435,0.0445,0.0439,3487.5539999999996,3409.182,3487.5539999999996,3440.5308
BTC-22MAY26-78000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,78000,C,2026-05-22,21,78372,0.0337,0.036,0.037,0.0367,2641.1364,2821.392,2899.7639999999997,2876.2524000000003
BTC-25DEC26-30000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,30000,C,2026-12-25,238,78372,0.627,0.6275,0.6295,0.6283,49139.244,49178.42999999999,49335.174,49241.1276
BTC-25DEC26-35000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,35000,C,2026-12-25,238,78372,0.507,0.5675,0.5695,0.5683,39734.604,44476.11,44632.854,44538.8076
BTC-25DEC26-40000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,40000,C,2026-12-25,238,78372,0.451,0.5075,0.5105,0.5095,35345.772000000004,39773.78999999999,40008.905999999995,39930.534
BTC-25DEC26-45000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,45000,C,2026-12-25,238,78372,0.437,0.4495,0.4525,0.4515,34248.564,35228.214,35463.33,35384.958
BTC-25DEC26-50000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,50000,C,2026-12-25,238,78372,0.3825,0.393,0.398,0.3954,29977.29,30800.196,31192.056,30988.2888
BTC-25DEC26-54000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,54000,C,2026-12-25,238,78372,0.2972,0.3505,0.3555,0.3527,23292.1584,27469.386,27861.246,27641.8044
BTC-25DEC26-55000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,55000,C,2026-12-25,238,78372,0.342,0.34,0.345,0.3422,26803.224000000002,26646.480000000003,27038.339999999997,26818.898400000002
BTC-25DEC26-56000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,56000,C,2026-12-25,238,78372,0.278,0.33,0.335,0.3321,21787.416,25862.760000000002,26254.620000000003,26027.3412
BTC-25DEC26-58000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,58000,C,2026-12-25,238,78372,0.3145,0.3095,0.315,0.3119,24647.994,24256.134,24687.18,24444.2268
BTC-25DEC26-60000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,60000,C,2026-12-25,238,78372,0.2705,0.29,0.2955,0.2922,21199.626,22727.879999999997,23158.926,22900.2984
BTC-25DEC26-62000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,62000,C,2026-12-25,238,78372,0.256,0.2715,0.2765,0.2736,20063.232,21277.998000000003,21669.858,21442.5792
BTC-25DEC26-64000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,64000,C,2026-12-25,238,78372,0.2425,0.253,0.2585,0.2554,19005.21,19828.116,20259.162,20016.2088
BTC-25DEC26-65000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,65000,C,2026-12-25,238,78372,0.233,0.2445,0.2495,0.2466,18260.676,19161.953999999998,19553.814,19326.535200000002
BTC-25DEC26-66000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,66000,C,2026-12-25,238,78372,0.237,0.236,0.241,0.2379,18574.164,18495.791999999998,18887.652,18644.6988
BTC-25DEC26-68000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,68000,C,2026-12-25,238,78372,0.207,0.219,0.2245,0.2213,16223.003999999999,17163.468,17594.514,17343.7236
BTC-25DEC26-70000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,70000,C,2026-12-25,238,78372,0.2075,0.204,0.2065,0.2056,16262.189999999999,15987.887999999999,16183.818,16113.2832
BTC-25DEC26-72000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,72000,C,2026-12-25,238,78372,0.1776,0.189,0.1915,0.1899,13918.8672,14812.308,15008.238,14882.8428
BTC-25DEC26-74000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,74000,C,2026-12-25,238,78372,0.17,0.1745,0.1775,0.176,13323.240000000002,13675.913999999999,13911.029999999999,13793.472
BTC-25DEC26-75000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,75000,C,2026-12-25,238,78372,0.165,0.1675,0.1705,0.1693,12931.380000000001,13127.310000000001,13362.426000000001,13268.3796
BTC-25DEC26-76000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,76000,C,2026-12-25,238,78372,0.1569,0.1615,0.164,0.1626,12296.5668,12657.078,12853.008,12743.287199999999
BTC-25DEC26-78000-C,2026-05-01,2026-05-01,BTC-25DEC26-export.csv,BTC,25DEC26,78000,C,2026-12-25,238,78372,0.1495,0.149,0.1515,0.1501,11716.614,11677.428,11873.358,11763.637200000001
BTC-25SEP26-30000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,30000,C,2026-09-25,147,78372,0.5645,0.621,0.623,0.6223,44240.994,48669.012,48825.756,48770.895599999996
BTC-25SEP26-35000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,35000,C,2026-09-25,147,78372,0.52,0.559,0.561,0.5601,40753.44,43809.948000000004,43966.692,43896.1572
BTC-25SEP26-40000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,40000,C,2026-09-25,147,78372,0.504,0.497,0.4995,0.4986,39499.488,38950.884,39146.814,39076.2792
BTC-25SEP26-45000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,45000,C,2026-09-25,147,78372,0.4226,0.4355,0.4405,0.4378,33120.0072,34131.006,34522.866,34311.261600000005
BTC-25SEP26-50000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,50000,C,2026-09-25,147,78372,0.3745,0.376,0.381,0.3785,29350.314,29467.872,29859.732,29663.802
BTC-25SEP26-55000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,55000,C,2026-09-25,147,78372,0.32,0.3185,0.3235,0.3207,25079.04,24961.482,25353.342,25133.9004
BTC-25SEP26-56000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,56000,C,2026-09-25,147,78372,0.3,0.3075,0.312,0.3096,23511.6,24099.39,24452.064,24263.9712
BTC-25SEP26-58000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,58000,C,2026-09-25,147,78372,0.2565,0.285,0.29,0.2875,20102.418,22336.019999999997,22727.879999999997,22531.949999999997
BTC-25SEP26-60000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,60000,C,2026-09-25,147,78372,0.252,0.2635,0.2685,0.266,19749.744,20651.022,21042.882,20846.952
BTC-25SEP26-62000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,62000,C,2026-09-25,147,78372,0.19,0.243,0.2475,0.2452,14890.68,19044.396,19397.07,19216.8144
BTC-25SEP26-64000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,64000,C,2026-09-25,147,78372,0.228,0.223,0.2275,0.2251,17868.816,17476.956000000002,17829.63,17641.5372
BTC-25SEP26-65000-C,2026-05-01,2026-05-01,BTC-25SEP26-export.csv,BTC,25SEP26,65000,C,2026-09-25,147,78372,0.2035,0.213,0.2175,0.2155,15948.702,16693.236,17045.91,16889.166
