Instrument,date,date_str,source_file,underlying,expiry,strike,option_type,expiry_date,days_till_maturity,underlying_price,Last,Bid,Ask,Mark,Last_USD,Bid_USD,Ask_USD,Mark_USD
BTC-15MAY26-65000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,65000,C,2026-05-15,14,78372,,0.1645,0.1765,0.171,,12892.194000000001,13832.658,13401.612000000001
BTC-15MAY26-72000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,72000,C,2026-05-15,14,78372,,0.059,0.1075,0.0861,,4623.947999999999,8424.99,6747.8292
BTC-15MAY26-73000-C,2026-05-01,2026-05-01,BTC-15MAY26-export.csv,BTC,15MAY26,73000,C,2026-05-15,14,78372,,0.039,0.1055,0.0749,,3056.508,8268.246,5870.0628
BTC-22MAY26-65000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,65000,C,2026-05-22,21,78372,,0.166,0.2075,0.1726,,13009.752,16262.189999999999,13527.0072
BTC-22MAY26-68000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,68000,C,2026-05-22,21,78372,,0.1245,0.1725,0.136,,9757.314,13519.169999999998,10658.592
BTC-22MAY26-70000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,70000,C,2026-05-22,21,78372,,0.078,0.145,0.1126,,6113.016,11363.939999999999,8824.6872
BTC-22MAY26-72000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,72000,C,2026-05-22,21,78372,,0.0595,0.1215,0.0904,,4663.134,9522.198,7084.828799999999
BTC-22MAY26-73000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,73000,C,2026-05-22,21,78372,,0.0465,0.0975,0.0799,,3644.298,7641.27,6261.9228
BTC-22MAY26-74000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,74000,C,2026-05-22,21,78372,,0.0645,0.0915,0.07,,5054.994,7171.038,5486.040000000001
BTC-22MAY26-75000-C,2026-05-01,2026-05-01,BTC-22MAY26-export.csv,BTC,22MAY26,75000,C,2026-05-22,21,78372,,0.059,0.063,0.0606,,4623.947999999999,4937.436,4749.3432
